year,champion,runner_up,score,sets,tiebreak
2013,Andy Murray,Novak Djokovic,"6-4, 7-5, 6-4",3,0
2014,Novak Djokovic,Roger Federer,"6-7(7-9), 6-4, 7-6(7-4), 5-7, 6-4",5,1
2015,Novak Djokovic,Roger Federer,"7-6(7-1), 6-7(10-12), 6-4, 6-3",4,1
2016,Andy Murray,Milos Raonic,"6-4, 7-6(7-3), 7-6(7-2)",3,1
2017,Roger Federer,Marin Čilić,"6-3, 6-1, 6-4",3,0
2018,Novak Djokovic,Kevin Anderson,"6-2, 6-2, 7-6(7-3)",3,1
2019,Novak Djokovic,Roger Federer,"7-6(7-5), 1-6, 7-6(7-4), 4-6, 13-12(7-3)",5,1
2021,Novak Djokovic,Matteo Berrettini,"6-7(4-7), 6-4, 6-4, 6-3",4,1
2022,Novak Djokovic,Nick Kyrgios,"4-6, 6-3, 6-4, 7-6(7-3)",4,1
2023,Carlos Alcaraz,Novak Djokovic,"1-6, 7-6(8-6), 6-1, 3-6, 6-4",5,1
2024,Carlos Alcaraz,Novak Djokovic,"6-2, 6-2, 7-6(7-4)",3,1
